2026-01-14 13:33:40 | ERROR | db_manager.py:131 : 执行 SQL 语句时发生错误: (1406, "Data too long for column '商家备注' at row 1638")
2026-01-14 16:27:54 | ERROR | db_manager.py:131 : 执行 SQL 语句时发生错误: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ''traceId': '2150431b17683792739823082e1714', 'amount': {'count': [[{'content': [' at line 1")
2026-01-14 16:28:45 | ERROR | db_manager.py:131 : 执行 SQL 语句时发生错误: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ''traceId': '2150460517683793254988883e0deb', 'amount': {'count': [[{'content': [' at line 1")
2026-01-14 17:41:20 | ERROR | downloader.py:101 : 发送请求时发生未知错误: 'latin-1' codec can't encode characters in position 131-138: ordinal not in range(256)
2026-01-14 17:41:20 | ERROR | downloader.py:156 : 下载网页时发生未知错误: 'latin-1' codec can't encode characters in position 131-138: ordinal not in range(256)
2026-01-14 17:41:20 | ERROR | extra_error.py:33 : 请求数据解析错误: 'latin-1' codec can't encode characters in position 131-138: ordinal not in range(256)
2026-01-14 17:41:59 | ERROR | extra_error.py:35 : 处理请求时发生未知错误: 'NoneType' object is not iterable
2026-01-14 17:41:59 | ERROR | extra_error.py:36 : 错误类型: TypeError
2026-01-14 17:42:56 | ERROR | extra_error.py:35 : 处理请求时发生未知错误: 'NoneType' object is not iterable
2026-01-14 17:42:56 | ERROR | extra_error.py:36 : 错误类型: TypeError
2026-01-14 17:44:06 | ERROR | extra_error.py:35 : 处理请求时发生未知错误: 'NoneType' object is not iterable
2026-01-14 17:44:06 | ERROR | extra_error.py:36 : 错误类型: TypeError
2026-01-14 17:47:55 | ERROR | extra_error.py:35 : 处理请求时发生未知错误: 'NoneType' object is not iterable
2026-01-14 17:47:55 | ERROR | extra_error.py:36 : 错误类型: TypeError
2026-01-14 17:50:23 | ERROR | extra_error.py:35 : 处理请求时发生未知错误: 'NoneType' object is not iterable
2026-01-14 17:50:23 | ERROR | extra_error.py:36 : 错误类型: TypeError
2026-01-14 18:34:40 | ERROR | db_manager.py:131 : 执行 SQL 语句时发生错误: (1265, "Data truncated for column '实付款' at row 1")
2026-01-14 18:38:01 | ERROR | db_manager.py:131 : 执行 SQL 语句时发生错误: (1265, "Data truncated for column '实付款' at row 1")
