2026-04-17 07:15:17 | ERROR | extra_error.py:35 : 处理请求时发生未知错误: 'value'
2026-04-17 07:15:17 | ERROR | extra_error.py:36 : 错误类型: KeyError
2026-04-17 10:07:41 | ERROR | extra_reqlog.py:16 : 在<frame at 0x000001E8E336C9A0, file 'C:\\Users\\admin\\Desktop\\yiyuan_spider\\extra\\downloader.py', line 99, code _make_request_get>发起了调用,请求失败（status_code:502）
2026-04-17 10:07:41 | ERROR | downloader.py:102 : 网络请求失败: HTTP请求失败，状态码: 502
2026-04-17 10:07:41 | ERROR | downloader.py:155 : 网络请求失败: HTTP请求失败，状态码: 502
2026-04-17 10:07:45 | ERROR | extra_reqlog.py:16 : 在<frame at 0x000001E8E336C9A0, file 'C:\\Users\\admin\\Desktop\\yiyuan_spider\\extra\\downloader.py', line 99, code _make_request_get>发起了调用,请求失败（status_code:502）
2026-04-17 10:07:45 | ERROR | downloader.py:102 : 网络请求失败: HTTP请求失败，状态码: 502
2026-04-17 10:07:45 | ERROR | downloader.py:155 : 网络请求失败: HTTP请求失败，状态码: 502
2026-04-17 10:08:08 | ERROR | extra_reqlog.py:16 : 在<frame at 0x000001E8E336C9A0, file 'C:\\Users\\admin\\Desktop\\yiyuan_spider\\extra\\downloader.py', line 99, code _make_request_get>发起了调用,请求失败（status_code:502）
2026-04-17 10:08:08 | ERROR | downloader.py:102 : 网络请求失败: HTTP请求失败，状态码: 502
2026-04-17 10:08:08 | ERROR | downloader.py:155 : 网络请求失败: HTTP请求失败，状态码: 502
2026-04-17 10:08:15 | ERROR | extra_reqlog.py:16 : 在<frame at 0x000001E8E336C9A0, file 'C:\\Users\\admin\\Desktop\\yiyuan_spider\\extra\\downloader.py', line 99, code _make_request_get>发起了调用,请求失败（status_code:502）
2026-04-17 10:08:15 | ERROR | downloader.py:102 : 网络请求失败: HTTP请求失败，状态码: 502
2026-04-17 10:08:15 | ERROR | downloader.py:155 : 网络请求失败: HTTP请求失败，状态码: 502
2026-04-17 10:08:27 | ERROR | extra_reqlog.py:16 : 在<frame at 0x000001E8E336C9A0, file 'C:\\Users\\admin\\Desktop\\yiyuan_spider\\extra\\downloader.py', line 99, code _make_request_get>发起了调用,请求失败（status_code:502）
2026-04-17 10:08:27 | ERROR | downloader.py:102 : 网络请求失败: HTTP请求失败，状态码: 502
2026-04-17 10:08:27 | ERROR | downloader.py:155 : 网络请求失败: HTTP请求失败，状态码: 502
2026-04-17 10:08:39 | ERROR | extra_reqlog.py:16 : 在<frame at 0x000001E8E336C9A0, file 'C:\\Users\\admin\\Desktop\\yiyuan_spider\\extra\\downloader.py', line 99, code _make_request_get>发起了调用,请求失败（status_code:502）
2026-04-17 10:08:39 | ERROR | downloader.py:102 : 网络请求失败: HTTP请求失败，状态码: 502
2026-04-17 10:08:39 | ERROR | downloader.py:155 : 网络请求失败: HTTP请求失败，状态码: 502
